Date_min,Date_max,Streams_max,Streams per 1 million_max
1/1/2017,9/9/2017,455217,10277.33
1/1/2017,3/9/2017,304108,17095.03
1/1/2017,9/9/2017,55564,11270.0
1/1/2017,9/9/2017,64238,3943.18
1/1/2017,9/9/2017,16297,2640.47
1/1/2017,9/8/2017,8244,6586.87
1/1/2017,9/9/2017,196365,35583.87
1/1/2017,9/9/2017,479164,7140.39
1/1/2017,9/9/2017,1280932,15893.64
1/1/2017,9/9/2017,495971,7981.79
1/1/2017,9/9/2017,7450,2638.23
1/1/2017,9/9/2017,134171,29747.51
1/1/2017,9/9/2017,388200,72969.31
1/1/2017,9/9/2017,367367,3523.7
1/1/2017,9/9/2017,61222,2604.26
1/1/2017,9/9/2017,259368,3208.2
1/1/2017,9/9/2017,4068152,12455.09
