Region,Track Name,Artist,Days at # 1
Argentina,Chantaje,Shakira,10
Argentina,Criminal,Natti Natasha,65
Argentina,DUELE EL CORAZON,Maluma,29
Argentina,Despacito (Featuring Daddy Yankee),Luis Fonsi,86
Argentina,Despacito - Remix,Luis Fonsi,15
Argentina,Felices los 4,Maluma,65
Argentina,Me RehÌ¼so,Danny Ocean,8
Argentina,Mi Gente,J Balvin,60
Argentina,Reggaet?n Lento (Bailemos),CNCO,12
Argentina,Se PreparÌ?,Ozuna,7
Argentina,Sensualidad,Bad Bunny,14
Chile,Chantaje,Shakira,9
Chile,Despacito (Featuring Daddy Yankee),Luis Fonsi,64
Chile,Reggaet?n Lento (Bailemos),CNCO,5
Costa Rica,Criminal,Natti Natasha,4
Costa Rica,Despacito (Featuring Daddy Yankee),Luis Fonsi,78
Costa Rica,Despacito - Remix,Luis Fonsi,7
Costa Rica,DÌ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,7
Costa Rica,Me RehÌ¼so,Danny Ocean,34
Costa Rica,Mi Gente,J Balvin,55
Costa Rica,Reggaet?n Lento (Bailemos),CNCO,20
Costa Rica,Se PreparÌ?,Ozuna,75
Costa Rica,Shape of You,Ed Sheeran,49
Costa Rica,Una Lady Como TÌ¼,Manuel Turizo,36
Ecuador,Criminal,Natti Natasha,19
Ecuador,DUELE EL CORAZON,Maluma,2
Ecuador,Despacito (Featuring Daddy Yankee),Luis Fonsi,90
Ecuador,Despacito - Remix,Luis Fonsi,8
Ecuador,DÌ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,8
Ecuador,Felices los 4,Maluma,63
Ecuador,Mayores,Becky G,13
Ecuador,Me RehÌ¼so,Danny Ocean,4
Ecuador,Mi Gente,J Balvin,48
Ecuador,Reggaet?n Lento (Bailemos),CNCO,14
Ecuador,Robarte un Beso,Carlos Vives,59
Ecuador,Shape of You,Ed Sheeran,2
Ecuador,Ìächame La Culpa,Luis Fonsi,41
El Salvador,Criminal,Natti Natasha,45
El Salvador,Despacito (Featuring Daddy Yankee),Luis Fonsi,90
El Salvador,Despacito - Remix,Luis Fonsi,11
El Salvador,DÌ©jala Que Vuelva (feat. Manuel Turizo),Piso 21,11
El Salvador,Felices los 4,Maluma,55
El Salvador,Mayores,Becky G,10
El Salvador,Me RehÌ¼so,Danny Ocean,10
El Salvador,Mi Gente,J Balvin,82
El Salvador,Reggaet?n Lento (Bailemos),CNCO,16
El Salvador,Robarte un Beso,Carlos Vives,10
El Salvador,Se PreparÌ?,Ozuna,1
El Salvador,Sensualidad,Bad Bunny,30
Estonia,2U (feat. Justin Bieber),David Guetta,13
Estonia,All I Want for Christmas Is You,Mariah Carey,2
Estonia,City Lights,Blanche,2
Estonia,Despacito (Featuring Daddy Yankee),Luis Fonsi,2
