Region,Artist,Track Name,Date_min,Date_max,Streams_max,Streams per 1 million_max,Days Charted
Argentina,Bad Bunny,Sensualidad,2017-11-06,2018-01-09,297760,6722.46,64 days 00:00:00.000000000
Argentina,CNCO,Reggaet?n Lento (Bailemos),2017-01-01,2017-07-09,218850,4940.93,189 days 00:00:00.000000000
Argentina,Danny Ocean,Me RehÌ¼so,2017-03-06,2018-01-09,232585,5251.02,309 days 00:00:00.000000000
Argentina,J Balvin,Mi Gente,2017-07-01,2018-01-07,267656,6042.81,190 days 00:00:00.000000000
Argentina,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-01-15,2017-09-17,455217,10277.33,245 days 00:00:00.000000000
Argentina,Luis Fonsi,Despacito - Remix,2017-04-17,2017-08-09,408219,9216.27,114 days 00:00:00.000000000
Argentina,Maluma,DUELE EL CORAZON,2017-11-15,2018-01-09,370307,8360.34,55 days 00:00:00.000000000
Argentina,Maluma,Felices los 4,2017-04-22,2018-01-07,336700,7601.6,260 days 00:00:00.000000000
Argentina,Natti Natasha,Criminal,2017-09-05,2018-01-09,351356,7932.49,126 days 00:00:00.000000000
Argentina,Ozuna,Se PreparÌ?,2017-08-25,2018-01-09,268417,6059.99,137 days 00:00:00.000000000
Argentina,Shakira,Chantaje,2017-01-01,2017-04-30,253019,5712.35,119 days 00:00:00.000000000
Chile,CNCO,Reggaet?n Lento (Bailemos),2017-01-01,2017-03-19,148191,8330.36,77 days 00:00:00.000000000
Chile,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-01-13,2017-03-19,304108,17095.03,65 days 00:00:00.000000000
Chile,Shakira,Chantaje,2017-01-01,2017-03-19,136652,7681.71,77 days 00:00:00.000000000
Costa Rica,CNCO,Reggaet?n Lento (Bailemos),2017-01-01,2017-08-13,24081,4884.33,224 days 00:00:00.000000000
Costa Rica,Danny Ocean,Me RehÌ¼so,2017-01-27,2018-01-09,27421,5561.78,347 days 00:00:00.000000000
Costa Rica,Ed Sheeran,Shape of You,2017-01-06,2018-01-09,40373,8188.82,368 days 00:00:00.000000000
Costa Rica,J Balvin,Mi Gente,2017-07-01,2018-01-03,31807,6451.39,186 days 00:00:00.000000000
Costa Rica,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-01-15,2017-09-17,55564,11270.0,245 days 00:00:00.000000000
Costa Rica,Luis Fonsi,Despacito - Remix,2017-04-17,2017-07-19,36402,7383.39,93 days 00:00:00.000000000
Costa Rica,Manuel Turizo,Una Lady Como TÌ¼,2017-07-15,2018-01-09,27193,5515.53,178 days 00:00:00.000000000
Costa Rica,Natti Natasha,Criminal,2017-11-10,2018-01-09,26202,5314.53,60 days 00:00:00.000000000
Costa Rica,Ozuna,Se PreparÌ?,2017-09-11,2018-01-09,28430,5766.43,120 days 00:00:00.000000000
Costa Rica,Piso 21,DÌ©jala Que Vuelva (feat. Manuel Turizo),2017-11-25,2018-01-09,24730,5015.96,45 days 00:00:00.000000000
Ecuador,Becky G,Mayores,2017-08-01,2018-01-09,25070,1538.89,161 days 00:00:00.000000000
Ecuador,CNCO,Reggaet?n Lento (Bailemos),2017-01-01,2017-06-29,22519,1382.3,179 days 00:00:00.000000000
Ecuador,Carlos Vives,Robarte un Beso,2017-07-30,2017-11-09,29146,1789.1,102 days 00:00:00.000000000
Ecuador,Danny Ocean,Me RehÌ¼so,2017-01-27,2018-01-09,27045,1660.13,347 days 00:00:00.000000000
Ecuador,Ed Sheeran,Shape of You,2017-01-06,2017-10-09,25889,1589.17,276 days 00:00:00.000000000
Ecuador,J Balvin,Mi Gente,2017-06-30,2018-01-01,33393,2049.79,185 days 00:00:00.000000000
Ecuador,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-01-14,2017-09-03,64238,3943.18,232 days 00:00:00.000000000
Ecuador,Luis Fonsi,Despacito - Remix,2017-04-17,2017-07-24,28054,1722.06,98 days 00:00:00.000000000
Ecuador,Luis Fonsi,Ìächame La Culpa,2017-11-17,2018-01-09,31555,1936.97,53 days 00:00:00.000000000
Ecuador,Maluma,DUELE EL CORAZON,2017-11-06,2018-01-09,31333,1923.34,64 days 00:00:00.000000000
Ecuador,Maluma,Felices los 4,2017-04-22,2018-01-01,38310,2351.62,254 days 00:00:00.000000000
Ecuador,Natti Natasha,Criminal,2017-09-21,2018-01-09,27465,1685.91,110 days 00:00:00.000000000
Ecuador,Piso 21,DÌ©jala Que Vuelva (feat. Manuel Turizo),2017-10-26,2018-01-09,30662,1882.15,75 days 00:00:00.000000000
El Salvador,Bad Bunny,Sensualidad,2017-11-04,2018-01-09,7949,1287.91,66 days 00:00:00.000000000
El Salvador,Becky G,Mayores,2017-08-02,2018-01-09,6148,996.11,160 days 00:00:00.000000000
El Salvador,CNCO,Reggaet?n Lento (Bailemos),2017-01-01,2017-06-18,6454,1045.69,168 days 00:00:00.000000000
El Salvador,Carlos Vives,Robarte un Beso,2017-08-05,2017-11-09,6178,1000.97,96 days 00:00:00.000000000
El Salvador,Danny Ocean,Me RehÌ¼so,2017-01-01,2018-01-09,8119,1315.45,373 days 00:00:00.000000000
El Salvador,J Balvin,Mi Gente,2017-06-30,2018-01-02,8822,1429.36,186 days 00:00:00.000000000
El Salvador,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-01-14,2017-08-27,16297,2640.47,225 days 00:00:00.000000000
El Salvador,Luis Fonsi,Despacito - Remix,2017-04-17,2017-08-02,10901,1766.2,107 days 00:00:00.000000000
El Salvador,Maluma,Felices los 4,2017-04-22,2017-11-18,9522,1542.77,210 days 00:00:00.000000000
El Salvador,Natti Natasha,Criminal,2017-09-26,2018-01-09,7810,1265.39,105 days 00:00:00.000000000
El Salvador,Ozuna,Se PreparÌ?,2017-09-11,2018-01-09,6274,1016.52,120 days 00:00:00.000000000
El Salvador,Piso 21,DÌ©jala Que Vuelva (feat. Manuel Turizo),2017-11-10,2018-01-09,7812,1265.71,60 days 00:00:00.000000000
Estonia,Axwell /\ Ingrosso,More Than You Know,2017-06-10,2017-11-17,3641,2909.12,160 days 00:00:00.000000000
Estonia,Blanche,City Lights,2017-05-10,2017-05-21,4199,3354.96,11 days 00:00:00.000000000
Estonia,David Guetta,2U (feat. Justin Bieber),2017-06-09,2017-09-08,3505,2800.46,91 days 00:00:00.000000000
Estonia,Dua Lipa,New Rules,2017-07-22,2018-01-09,3247,2594.32,171 days 00:00:00.000000000
Estonia,Ed Sheeran,Shape of You,2017-01-06,2017-12-31,8244,6586.87,359 days 00:00:00.000000000
Estonia,Imagine Dragons,Thunder,2017-04-28,2017-11-03,3410,2724.55,189 days 00:00:00.000000000
Estonia,Justin Bieber,Friends (with BloodPopå¨),2017-08-18,2017-10-27,3572,2853.99,70 days 00:00:00.000000000
Estonia,Kendrick Lamar,HUMBLE.,2017-03-31,2017-08-05,4004,3199.15,127 days 00:00:00.000000000
Estonia,Luis Fonsi,Despacito (Featuring Daddy Yankee),2017-03-02,2017-06-25,5795,4630.14,115 days 00:00:00.000000000
Estonia,Luis Fonsi,Despacito - Remix,2017-04-19,2017-12-31,4514,3606.64,256 days 00:00:00.000000000
Estonia,Mariah Carey,All I Want for Christmas Is You,2017-12-01,2017-12-24,6087,4863.45,23 days 00:00:00.000000000
Estonia,Martin Garrix,There for You,2017-05-26,2017-09-19,3508,2802.85,116 days 00:00:00.000000000
Estonia,Post Malone,rockstar,2017-09-15,2018-01-09,6771,5409.96,116 days 00:00:00.000000000
Estonia,Reket,Gasell,2017-04-10,2017-04-13,4145,3311.81,3 days 00:00:00.000000000
