Date,Weekday,Weeknumber,Streams,Streams per 1 million
,,,sum,sum
1/2/2017,Monday,1,31626394,907611.48
1/3/2017,Tuesday,1,33671762,937610.37
1/4/2017,Wednesday,1,34590442,994520.82
1/5/2017,Thursday,1,34579676,1003761.41
1/6/2017,Friday,1,38144370,1101597.31
1/7/2017,Saturday,1,37415487,1105725.03
1/8/2017,Sunday,1,34129459,987897.33
1/9/2017,Monday,2,36187553,1080758.48
1/10/2017,Tuesday,2,36590466,1086127.13
1/11/2017,Wednesday,2,37972226,1122117.3
1/12/2017,Thursday,2,38259288,1129204.96
1/13/2017,Friday,2,40526836,1199285.55
1/14/2017,Saturday,2,40535915,1162701.91
1/15/2017,Sunday,2,36052638,1004317.2
1/16/2017,Monday,3,37169023,1085872.81
1/17/2017,Tuesday,3,38006203,1095145.77
1/18/2017,Wednesday,3,39098347,1132737.36
1/19/2017,Thursday,3,39020597,1139901.96
1/20/2017,Friday,3,40157583,1208911.04
1/21/2017,Saturday,3,40248810,1163910.39
1/22/2017,Sunday,3,35856171,1007218.94
1/23/2017,Monday,4,36713761,1088519.97
1/24/2017,Tuesday,4,37795288,1098767.8
1/25/2017,Wednesday,4,38793440,1120175.8
1/26/2017,Thursday,4,39478452,1158840.03
1/27/2017,Friday,4,42418543,1247668.59
1/28/2017,Saturday,4,41930863,1205782.17
1/29/2017,Sunday,4,36840208,1026787.85
1/30/2017,Monday,5,37795433,1116069.34
1/31/2017,Tuesday,5,39355319,1138191.13
2/1/2017,Wednesday,5,40141791,1163076.07
2/2/2017,Thursday,5,40374419,1194303.01
2/3/2017,Friday,5,44702617,1306794.47
2/4/2017,Saturday,5,44203675,1249399.74
2/5/2017,Sunday,5,39245160,1075558.94
2/6/2017,Monday,6,38106929,1138153.4
2/7/2017,Tuesday,6,40241881,1152226.21
2/8/2017,Wednesday,6,41041081,1195503.05
2/9/2017,Thursday,6,40449591,1203171.63
2/10/2017,Friday,6,42501384,1276201.21
2/11/2017,Saturday,6,42663055,1248313.98
2/12/2017,Sunday,6,38108108,1068402.57
2/13/2017,Monday,7,39788303,1148210.82
2/14/2017,Tuesday,7,39930887,1153222.64
2/15/2017,Wednesday,7,40689966,1175389.06
2/16/2017,Thursday,7,41577054,1257556.54
2/17/2017,Friday,7,44513012,1365164.29
2/18/2017,Saturday,7,43670846,1337389.08
2/19/2017,Sunday,7,38676729,1144526.3
2/20/2017,Monday,8,39878384,1220789.29
2/21/2017,Tuesday,8,40702172,1239732.01
2/22/2017,Wednesday,8,42004338,1255760.06
2/23/2017,Thursday,8,43407484,1273589.13
2/24/2017,Friday,8,45835012,1355753.61
2/25/2017,Saturday,8,44952743,1297549.41
2/26/2017,Sunday,8,39589414,1133932.24
2/27/2017,Monday,9,41620137,1241845.27
2/28/2017,Tuesday,9,43321341,1282624.92
3/1/2017,Wednesday,9,43936024,1308415.4
3/2/2017,Thursday,9,44767707,1328244.14
3/3/2017,Friday,9,49396823,1476183.39
3/4/2017,Saturday,9,48009105,1391442.84
3/5/2017,Sunday,9,43344316,1241379.07
3/6/2017,Monday,10,46416654,1333368.73
3/7/2017,Tuesday,10,46477560,1329401.12
3/8/2017,Wednesday,10,46358690,1322341.36
3/9/2017,Thursday,10,46490889,1340048.91
3/10/2017,Friday,10,48519567,1446012.96
3/11/2017,Saturday,10,47892397,1372709.07
3/12/2017,Sunday,10,42754829,1210987.65
3/13/2017,Monday,11,44010541,1280059.79
3/14/2017,Tuesday,11,43168578,1275557.1
3/15/2017,Wednesday,11,43973616,1293180.29
3/16/2017,Thursday,11,44259777,1302423.73
3/17/2017,Friday,11,45857097,1365864.72
3/18/2017,Saturday,11,45281123,1333307.11
3/19/2017,Sunday,11,60640063,1200627.25
3/20/2017,Monday,12,60951244,1259776.47
3/21/2017,Tuesday,12,57478723,1255517.19
3/22/2017,Wednesday,12,53765409,1261528.99
3/23/2017,Thursday,12,51447265,1283126.71
3/24/2017,Friday,12,52039932,1376010.43
3/25/2017,Saturday,12,50023003,1352950.47
3/26/2017,Sunday,12,43118516,1147108.81
3/27/2017,Monday,13,45360002,1219864.86
3/28/2017,Tuesday,13,45750136,1225002.17
3/29/2017,Wednesday,13,46093918,1242375.96
3/30/2017,Thursday,13,45769636,1253612.39
3/31/2017,Friday,13,50077146,1366935.94
4/1/2017,Saturday,13,48405191,1313901.99
4/2/2017,Sunday,13,42975226,1127009.26
4/3/2017,Monday,14,45001012,1199517.13
4/4/2017,Tuesday,14,45525623,1205089.48
4/5/2017,Wednesday,14,45575515,1229081.79
4/6/2017,Thursday,14,45249640,1247670.98
4/7/2017,Friday,14,49832034,1374082.24
4/8/2017,Saturday,14,48015553,1312613.44
4/9/2017,Sunday,14,42767704,1108748.39
4/10/2017,Monday,15,44797452,1176947.96
4/11/2017,Tuesday,15,44923918,1176945.67
4/12/2017,Wednesday,15,45477349,1214164.67
4/13/2017,Thursday,15,46001790,1190987.39
4/14/2017,Friday,15,67517623,1219796.5
4/15/2017,Saturday,15,58470396,1192098.28
4/16/2017,Sunday,15,48388625,1072788.19
4/17/2017,Monday,16,53731062,1146124.92
4/18/2017,Tuesday,16,54711589,1237307.91
4/19/2017,Wednesday,16,53229919,1260156.41
4/20/2017,Thursday,16,52405970,1263321.12
4/21/2017,Friday,16,54012879,1373444.89
4/22/2017,Saturday,16,50937711,1372189.08
4/23/2017,Sunday,16,44382067,1161130.04
4/24/2017,Monday,17,48190181,1260167.62
4/25/2017,Tuesday,17,48496205,1275768.19
4/26/2017,Wednesday,17,48775440,1296371.38
4/27/2017,Thursday,17,48745899,1307740.88
4/28/2017,Friday,17,53351648,1474003.92
4/29/2017,Saturday,17,52121660,1437175.43
4/30/2017,Sunday,17,47596954,1348478.19
5/1/2017,Monday,18,48174921,1244289.98
5/2/2017,Tuesday,18,50101041,1345194.98
5/3/2017,Wednesday,18,50514430,1369255.88
5/4/2017,Thursday,18,50551532,1396296.83
5/5/2017,Friday,18,54106907,1524773.26
5/6/2017,Saturday,18,52088964,1496577.51
5/7/2017,Sunday,18,45051700,1224213.46
