,Countrys,lat,lng
0,Argentina,-38.416097,-63.616672
1,Norway,60.472024,8.468946
2,Germany,51.165691,10.451526
3,Taiwan,23.69781,120.960515
4,Phillipines,12.879721,121.774017
5,France,46.227638,2.213749
6,El Salvador,13.794185,-88.89653
7,Costa Rica,9.748917,-83.753428
8,Italy,41.87194,12.56738
9,Estonia,58.595272,25.0136071
10,Lithuania,55.169438,23.881275
11,Finland,61.92411,25.7481511
12,Chile,-35.675147,-71.542969
13,Turkey,38.963745,35.243322
14,New Zealand,-40.900557,174.885971
15,United States of America,37.09024,-95.712891
16,Ecuador,-1.831239,-78.183406
