danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.753,0.454,7,-9.488,1,0.0963,0.0244,5.62e-05,0.498,0.344,77.17,audio_features,2XW4DbS6NddZxRPm5rMCeY,spotify:track:2XW4DbS6NddZxRPm5rMCeY,https://api.spotify.com/v1/tracks/2XW4DbS6NddZxRPm5rMCeY,https://api.spotify.com/v1/audio-analysis/2XW4DbS6NddZxRPm5rMCeY,198960,4,God's Plan
0.74,0.558,8,-8.115,1,0.102,0.566,0,0.112,0.421,140.057,audio_features,65NwOZqoXny4JxqAPlfxRF,spotify:track:65NwOZqoXny4JxqAPlfxRF,https://api.spotify.com/v1/tracks/65NwOZqoXny4JxqAPlfxRF,https://api.spotify.com/v1/audio-analysis/65NwOZqoXny4JxqAPlfxRF,220880,4,Psycho (feat. Ty Dolla $ign)
0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606,4,SAD!
0.626,0.88,9,-2.384,0,0.0504,0.205,0,0.128,0.534,95.079,audio_features,08bNPGLD8AhKpnnERrAc6G,spotify:track:08bNPGLD8AhKpnnERrAc6G,https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G,https://api.spotify.com/v1/audio-analysis/08bNPGLD8AhKpnnERrAc6G,202621,4,FRIENDS
0.709,0.635,5,-4.865,0,0.0461,0.0538,0.000139,0.098,0.536,96.825,audio_features,3GCdLUSnKSMJhs4Tj6CV3s,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/tracks/3GCdLUSnKSMJhs4Tj6CV3s,https://api.spotify.com/v1/audio-analysis/3GCdLUSnKSMJhs4Tj6CV3s,232187,4,All The Stars (with SZA)
0.922,0.581,10,-7.495,1,0.27,0.00104,5.86e-05,0.105,0.595,140.022,audio_features,4qKcDkK6siZ7Jp1Jb4m0aL,spotify:track:4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/tracks/4qKcDkK6siZ7Jp1Jb4m0aL,https://api.spotify.com/v1/audio-analysis/4qKcDkK6siZ7Jp1Jb4m0aL,181263,4,Look Alive (feat. Drake)
0.836,0.552,7,-5.66,1,0.0851,0.0433,0,0.0773,0.525,97.036,audio_features,76cy1WJvNGJTj78UqeA5zr,spotify:track:76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,218173,4,IDGAF
0.748,0.652,7,-3.02,1,0.058,0.208,0,0.128,0.431,106.914,audio_features,2ARqIya5NAuvFVHSN3bL0m,spotify:track:2ARqIya5NAuvFVHSN3bL0m,https://api.spotify.com/v1/tracks/2ARqIya5NAuvFVHSN3bL0m,https://api.spotify.com/v1/audio-analysis/2ARqIya5NAuvFVHSN3bL0m,184732,4,The Middle
0.716,0.805,4,-3.839,1,0.0856,0.014,3.1e-06,0.291,0.719,142.886,audio_features,6tHWl8ows5JOZq9Yfaqn3M,spotify:track:6tHWl8ows5JOZq9Yfaqn3M,https://api.spotify.com/v1/tracks/6tHWl8ows5JOZq9Yfaqn3M,https://api.spotify.com/v1/audio-analysis/6tHWl8ows5JOZq9Yfaqn3M,133995,4,Mine
0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,audio_features,39N9RPD9MRb5WmoLzNzPeA,spotify:track:39N9RPD9MRb5WmoLzNzPeA,https://api.spotify.com/v1/tracks/39N9RPD9MRb5WmoLzNzPeA,https://api.spotify.com/v1/audio-analysis/39N9RPD9MRb5WmoLzNzPeA,173628,4,X
0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,spotify:track:5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)"
0.708,0.648,6,-5.626,1,0.0449,0.0956,0,0.134,0.338,143.955,audio_features,45Egmo7icyopuzJN0oMEdk,spotify:track:45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/tracks/45Egmo7icyopuzJN0oMEdk,https://api.spotify.com/v1/audio-analysis/45Egmo7icyopuzJN0oMEdk,201707,4,Love Lies (with Normani)
0.578,0.532,5,-6.636,0,0.066,0.117,8.97e-05,0.143,0.12,159.784,audio_features,2U7Hu2RaNQNRi7izoJyZaX,spotify:track:2U7Hu2RaNQNRi7izoJyZaX,https://api.spotify.com/v1/tracks/2U7Hu2RaNQNRi7izoJyZaX,https://api.spotify.com/v1/audio-analysis/2U7Hu2RaNQNRi7izoJyZaX,218320,4,rockstar
0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,audio_features,0JP9xo3adEtGSdUEISiszL,spotify:track:0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL,https://api.spotify.com/v1/audio-analysis/0JP9xo3adEtGSdUEISiszL,135090,4,Moonlight
0.728,0.668,2,-5.02,1,0.126,0.0805,1.49e-05,0.102,0.162,100.537,audio_features,4ofvoCdXq99vpMZO4Cfp8x,spotify:track:4ofvoCdXq99vpMZO4Cfp8x,https://api.spotify.com/v1/tracks/4ofvoCdXq99vpMZO4Cfp8x,https://api.spotify.com/v1/audio-analysis/4ofvoCdXq99vpMZO4Cfp8x,211440,4,Pray For Me (with Kendrick Lamar)
0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988,audio_features,1rfofaqEpACxVEHIZBJe6W,spotify:track:1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W,https://api.spotify.com/v1/audio-analysis/1rfofaqEpACxVEHIZBJe6W,217307,4,Havana
0.786,0.846,1,-3.468,1,0.0505,0.174,0,0.413,0.819,95.005,audio_features,2j2fIJGh4PMdXt9ULI5Tlc,spotify:track:2j2fIJGh4PMdXt9ULI5Tlc,https://api.spotify.com/v1/tracks/2j2fIJGh4PMdXt9ULI5Tlc,https://api.spotify.com/v1/audio-analysis/2j2fIJGh4PMdXt9ULI5Tlc,200480,4,Dura
0.643,0.783,10,-6.458,1,0.0856,0.047,0,0.083,0.579,154.084,audio_features,7iDa6hUg2VgEL1o1HjmfBn,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/tracks/7iDa6hUg2VgEL1o1HjmfBn,https://api.spotify.com/v1/audio-analysis/7iDa6hUg2VgEL1o1HjmfBn,163870,4,Meant to Be (feat. Florida Georgia Line)
0.637,0.713,0,-4.333,1,0.0747,0.181,0.000637,0.137,0.243,129.923,audio_features,4eWQlBRaTjPPUlzacqEeoQ,spotify:track:4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/tracks/4eWQlBRaTjPPUlzacqEeoQ,https://api.spotify.com/v1/audio-analysis/4eWQlBRaTjPPUlzacqEeoQ,226973,4,Never Be the Same
0.67,0.752,1,-4.146,1,0.0374,0.041,0,0.0749,0.442,149.961,audio_features,4EAV2cKiqKP5UPZmY6dejk,spotify:track:4EAV2cKiqKP5UPZmY6dejk,https://api.spotify.com/v1/tracks/4EAV2cKiqKP5UPZmY6dejk,https://api.spotify.com/v1/audio-analysis/4EAV2cKiqKP5UPZmY6dejk,204747,4,Everyday
0.815,0.816,2,-5.474,1,0.269,0.00299,0,0.159,0.498,181.967,audio_features,2UVbBKQOdFAekPTRsnkzcf,spotify:track:2UVbBKQOdFAekPTRsnkzcf,https://api.spotify.com/v1/tracks/2UVbBKQOdFAekPTRsnkzcf,https://api.spotify.com/v1/audio-analysis/2UVbBKQOdFAekPTRsnkzcf,190288,4,Stir Fry
0.771,0.696,9,-6.258,0,0.0755,0.00256,9.71e-06,0.179,0.656,116.054,audio_features,2ekn2ttSfGqwhhate0LSR0,spotify:track:2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0,https://api.spotify.com/v1/audio-analysis/2ekn2ttSfGqwhhate0LSR0,208827,4,New Rules
0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,audio_features,7AFASza1mXqntmGtbxXprO,spotify:track:7AFASza1mXqntmGtbxXprO,https://api.spotify.com/v1/tracks/7AFASza1mXqntmGtbxXprO,https://api.spotify.com/v1/audio-analysis/7AFASza1mXqntmGtbxXprO,121887,4,changes
0.727,0.461,9,-7.527,0,0.0749,0.983,7.86e-05,0.0796,0.198,148.129,audio_features,3ITvHA9zhZZdBJsOsAUegF,spotify:track:3ITvHA9zhZZdBJsOsAUegF,https://api.spotify.com/v1/tracks/3ITvHA9zhZZdBJsOsAUegF,https://api.spotify.com/v1/audio-analysis/3ITvHA9zhZZdBJsOsAUegF,155676,3,Amorfoda
0.777,0.779,0,-4.449,0,0.0972,0.0543,0,0.636,0.768,94.023,audio_features,6jA8JUuPCGYjFcgw0AoM5T,spotify:track:6jA8JUuPCGYjFcgw0AoM5T,https://api.spotify.com/v1/tracks/6jA8JUuPCGYjFcgw0AoM5T,https://api.spotify.com/v1/audio-analysis/6jA8JUuPCGYjFcgw0AoM5T,221653,4,Me Niego
0.704,0.859,5,-4.877,0,0.0996,0.0185,0,0.0215,0.926,105.115,audio_features,3Vo4wInECJQuz9BIBMOu8i,spotify:track:3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/tracks/3Vo4wInECJQuz9BIBMOu8i,https://api.spotify.com/v1/audio-analysis/3Vo4wInECJQuz9BIBMOu8i,217289,4,Finesse (Remix) [feat. Cardi B]
0.755,0.599,8,-5.042,1,0.224,0.147,0,0.109,0.755,133.123,audio_features,10Igtw8bSDyyFs7KIsKngZ,spotify:track:10Igtw8bSDyyFs7KIsKngZ,https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,216632,4,Freaky Friday (feat. Chris Brown)
0.724,0.895,7,-3.617,1,0.0411,0.0322,0,0.097,0.64,96.022,audio_features,1zsG4eaZmkA1dvjDDsAGLK,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/tracks/1zsG4eaZmkA1dvjDDsAGLK,https://api.spotify.com/v1/audio-analysis/1zsG4eaZmkA1dvjDDsAGLK,173720,4,Échame La Culpa
0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,audio_features,5UEnHoDYpsxlfzWLZIc7LD,spotify:track:5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD,221013,4,River (feat. Ed Sheeran)
0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,audio_features,0tgVpDi06FyKpA1z0VMD4v,spotify:track:0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v,https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v,263400,3,Perfect
0.548,0.58,11,-7.524,0,0.121,0.104,0,0.127,0.462,180.066,audio_features,2IKZkwHI5zsZf70STuhvOX,spotify:track:2IKZkwHI5zsZf70STuhvOX,https://api.spotify.com/v1/tracks/2IKZkwHI5zsZf70STuhvOX,https://api.spotify.com/v1/audio-analysis/2IKZkwHI5zsZf70STuhvOX,193893,4,Sick Boy
0.715,0.802,11,-4.647,0,0.0394,0.139,0,0.177,0.327,124.989,audio_features,7EmGUiUaOSGDnUUQUDrOXC,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/tracks/7EmGUiUaOSGDnUUQUDrOXC,https://api.spotify.com/v1/audio-analysis/7EmGUiUaOSGDnUUQUDrOXC,197993,4,Wolves
0.573,0.543,8,-5.357,0,0.0398,0.0777,0,0.199,0.308,143.916,audio_features,75ZvA4QfFiZvzhj2xkaWAh,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,223347,4,I Fall Apart
0.882,0.503,11,-6.618,1,0.179,0.224,0,0.108,0.176,95.011,audio_features,0gD6lWJhbXHWNVwQziSVvl,spotify:track:0gD6lWJhbXHWNVwQziSVvl,https://api.spotify.com/v1/tracks/0gD6lWJhbXHWNVwQziSVvl,https://api.spotify.com/v1/audio-analysis/0gD6lWJhbXHWNVwQziSVvl,175511,4,Plug Walk
0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,audio_features,4UKCKdYiLN6IMA5ZESUTL7,spotify:track:4UKCKdYiLN6IMA5ZESUTL7,https://api.spotify.com/v1/tracks/4UKCKdYiLN6IMA5ZESUTL7,https://api.spotify.com/v1/audio-analysis/4UKCKdYiLN6IMA5ZESUTL7,160184,4,the remedy for a broken heart (why am I so in love)
0.563,0.717,1,-5.186,1,0.337,0.000874,0,0.183,0.427,82.064,audio_features,51rXHuKN8Loc4sUlKPODgH,spotify:track:51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/tracks/51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/audio-analysis/51rXHuKN8Loc4sUlKPODgH,229670,4,"King's Dead (with Kendrick Lamar, Future & James Blake)"
0.909,0.493,3,-6.688,1,0.0735,0.128,0.000147,0.127,0.844,94.016,audio_features,3xcCix7Jv1Rp90YVmgo35D,spotify:track:3xcCix7Jv1Rp90YVmgo35D,https://api.spotify.com/v1/tracks/3xcCix7Jv1Rp90YVmgo35D,https://api.spotify.com/v1/audio-analysis/3xcCix7Jv1Rp90YVmgo35D,197120,4,Bella
0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,audio_features,1LhMopPAallLeaeNutqbgS,spotify:track:1LhMopPAallLeaeNutqbgS,https://api.spotify.com/v1/tracks/1LhMopPAallLeaeNutqbgS,https://api.spotify.com/v1/audio-analysis/1LhMopPAallLeaeNutqbgS,278893,4,Say Something
0.88,0.428,9,-8.28,1,0.206,0.149,5.07e-05,0.114,0.333,100.007,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4,Ric Flair Drip (& Metro Boomin)
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,Shape of You
0.635,0.9,0,-3.719,0,0.0377,0.00664,0.0145,0.37,0.15,127.978,audio_features,6RnkFd8Fqqgk1Uni8RgqCQ,spotify:track:6RnkFd8Fqqgk1Uni8RgqCQ,https://api.spotify.com/v1/tracks/6RnkFd8Fqqgk1Uni8RgqCQ,https://api.spotify.com/v1/audio-analysis/6RnkFd8Fqqgk1Uni8RgqCQ,202500,4,Like I Do
0.483,0.799,2,-4.567,0,0.0366,0.0188,0,0.226,0.171,112.946,audio_features,5hM6sP0Gh1jD57drszNueC,spotify:track:5hM6sP0Gh1jD57drszNueC,https://api.spotify.com/v1/tracks/5hM6sP0Gh1jD57drszNueC,https://api.spotify.com/v1/audio-analysis/5hM6sP0Gh1jD57drszNueC,244293,4,For You (Fifty Shades Freed) (& Rita Ora)
0.681,0.788,1,-4.323,1,0.0785,0.0482,0,0.0753,0.839,170.019,audio_features,33bnxcjePIkcmNjEFTJX0l,spotify:track:33bnxcjePIkcmNjEFTJX0l,https://api.spotify.com/v1/tracks/33bnxcjePIkcmNjEFTJX0l,https://api.spotify.com/v1/audio-analysis/33bnxcjePIkcmNjEFTJX0l,220117,4,Déjala Que Vuelva (feat. Manuel Turizo)
0.544,0.379,7,-9.113,0,0.0412,0.863,0,0.083,0.322,199.756,audio_features,4QfNOZN7vrQCQKK1ZJ3XPb,spotify:track:4QfNOZN7vrQCQKK1ZJ3XPb,https://api.spotify.com/v1/tracks/4QfNOZN7vrQCQKK1ZJ3XPb,https://api.spotify.com/v1/audio-analysis/4QfNOZN7vrQCQKK1ZJ3XPb,191813,3,Heaven
0.659,0.716,5,-5.673,0,0.111,0.33,0,0.173,0.437,148.015,audio_features,6mrKP2jyIQmM0rw6fQryjr,spotify:track:6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr,https://api.spotify.com/v1/audio-analysis/6mrKP2jyIQmM0rw6fQryjr,212120,4,Let You Down
0.672,0.82,0,-5.473,1,0.0767,0.0342,6.67e-06,0.0921,0.463,100.069,audio_features,3towKHKVOXCCcL1fHv6xFO,spotify:track:3towKHKVOXCCcL1fHv6xFO,https://api.spotify.com/v1/tracks/3towKHKVOXCCcL1fHv6xFO,https://api.spotify.com/v1/audio-analysis/3towKHKVOXCCcL1fHv6xFO,219387,4,Capital Letters
